"","confound","n","p","oracle","plugin","WZ","DEB"
"init",0,200,400,-0.0225399362464777,0,-0.0487663574912102,-0.0360702175265815
"",0,200,400,-0.0228448194592593,0,-0.0658935960592664,-0.0622026759726807
"",0,200,400,-0.0225418532724819,0,-0.0511528771289918,-0.0189693575395596
"",0,200,400,-0.022183212568098,0,-0.0128911864838998,-0.0242588637336407
"",0,200,400,-0.0223198462550313,0,-0.00641539144311109,-0.0154358305671546
"",0,200,400,-0.0222462608751524,0,-0.0220886820353634,-0.0145939081697438
"",0,200,400,-0.0223154320530919,0,-0.0736010635576713,-0.0731020914383943
"",0,200,400,-0.0223069846893538,0,0.00451815011571359,0.00917250753420547
"",0,200,400,-0.0223118446100662,0,-0.0348764015360785,-0.0359148101699135
"",0,200,400,-0.022444486233194,0,-0.089913097673921,-0.0856005593646384
"",0,200,400,-0.0224577727623347,0,0.0152991439985368,0.0123402088613123
"",0,200,400,-0.0228039868869484,0,-0.0310469968422435,-0.0267294364022658
"",0,200,400,-0.0226280162305368,0,-0.0189844279381788,-0.0292533636604661
"",0,200,400,-0.0223842019242802,0,-0.0196716744470989,-0.0250314945656083
"",0,200,400,-0.0222818952244356,0,-0.0266280634178317,-0.0280056296730493
"",0,200,400,-0.0223707812757514,0,0.0112056830983504,0.0171124078701485
"",0,200,400,-0.0226325317137604,0,-0.0144746707593126,-0.0211198446829961
"",0,200,400,-0.0229091551978506,0,-0.0114125323452405,-0.0152249667551778
"",0,200,400,-0.0225163062314695,0,-0.0072472206676553,-0.00485428912630754
"",0,200,400,-0.0223262622941008,0,-0.0162784542726912,-0.0209736024912106
"init",1,200,400,-0.0221294490155336,0,0.00979064083792219,0.0112350329938651
"",1,200,400,-0.0225375540210086,0,-0.0520188020352226,-0.0523570898872434
"",1,200,400,-0.0224283683607,0,0.0271349531396858,0.0299291557660099
"",1,200,400,-0.0227301734861605,0,-0.0614956332681735,-0.0575965530112182
"",1,200,400,-0.0230030016095952,0,0.0651011872574828,0.0543032529695481
"",1,200,400,-0.022578146251409,0,-0.0234905745822459,-0.0258685596563373
"",1,200,400,-0.0225283016361528,0,0.0137670763243008,0.0392911498474232
"",1,200,400,-0.0224766190269226,0,0.0137091741857497,0.0280039479382013
"",1,200,400,-0.022709159396011,0,0.0461586481764642,0.0341309852756004
"",1,200,400,-0.0224814128148817,0,-0.0465598335449981,-0.0422826425590601
"",1,200,400,-0.0221721006046958,0,-0.026306662153221,-0.017908328160839
"",1,200,400,-0.0227432145293132,0,0.0025345575599471,-0.0170151800830417
"",1,200,400,-0.0229590910614763,0,0.0218671601232555,0.0124172577111796
"",1,200,400,-0.0225196473068634,0,0.00434630408457365,-0.00952651450858599
"",1,200,400,-0.0228320189036026,0,-0.0506980741808319,-0.0513947985452641
"",1,200,400,-0.0228005566797588,0,0.00320613830088933,-0.00709976610988172
"",1,200,400,-0.0223827950778839,0,0.0314061777702312,0.0270164206470644
"",1,200,400,-0.022485874308666,0,0.000554221624369791,0.0148885937008651
"",1,200,400,-0.0222018537683485,0,-0.00804547711744861,-0.0515310141320535
"",1,200,400,-0.0226998933339347,0,-0.00339928626871731,0.00184456270577095
"init",0,400,800,-0.0225176601895936,0,-0.0146210565124778,-0.0150531969673667
"",0,400,800,-0.0225673748531475,0,-0.0227650298578885,-0.0165345474406611
"",0,400,800,-0.0225287544574389,0,-0.0316836289175579,-0.022349934153599
"",0,400,800,-0.0225032009909787,0,0.0367133590416547,0.0272709798639392
"",0,400,800,-0.022508515863238,0,-0.0322930579307961,-0.0299287223397072
"",0,400,800,-0.0225327330048756,0,-0.060230135631353,-0.0459622474756139
"",0,400,800,-0.0227230032361807,0,-0.0209782510923228,-0.0171204746541801
"",0,400,800,-0.0224367741209711,0,-0.00511544699981454,-0.00996022490741911
"",0,400,800,-0.0226338294493289,0,-0.0242551712000364,-0.0217641084965304
"",0,400,800,-0.0227007109326788,0,-0.0260666798281366,-0.0279812096186802
"",0,400,800,-0.0225061523315958,0,0.0398866150922921,0.0356271817837464
"",0,400,800,-0.0226621630133076,0,-0.00249688102117831,0.00429463826279026
"",0,400,800,-0.0224762669611778,0,-0.0502149527986775,-0.0531781322252677
"",0,400,800,-0.0223790436419727,0,-0.00743993077785865,-0.0208562469065691
"",0,400,800,-0.0223631643011535,0,-0.043509760362671,-0.0361857209388376
"",0,400,800,-0.0223508514094805,0,-0.0703262033704601,-0.0644408789794888
"",0,400,800,-0.0226386171703779,0,0.016938841789156,0.00991349926127812
"",0,400,800,-0.0223751709001978,0,-0.0601562909823107,-0.0416917614959135
"",0,400,800,-0.022471053167015,0,-0.054078397712523,-0.0336753722315654
"",0,400,800,-0.02262345003236,0,-0.0504301509329738,-0.0418245161092464
"init",1,400,800,-0.0224505173801235,0,-0.0364919673530214,-0.0338225947239205
"",1,400,800,-0.0225710458957745,0,-0.0253280399528258,-0.0267092168810736
"",1,400,800,-0.0225747673977883,0,-0.00797587743200463,-0.0156293415260117
"",1,400,800,-0.0226573508194097,0,0.0210474333554693,0.0180563559660011
"",1,400,800,-0.0224888023821514,0,-0.0341233475031053,-0.0297288704179969
"",1,400,800,-0.0227492081501238,0,-0.0278979630580257,-0.037986049120465
"",1,400,800,-0.0226023496940854,0,-0.0202007863217968,-0.0199083371068632
"",1,400,800,-0.0224979252260091,0,-0.0168302929763382,0.0152475891374598
"",1,400,800,-0.0223064319744722,0,0.0203967059428366,-0.00776600785375548
"",1,400,800,-0.0225690774017182,0,-0.00474263760033397,-0.0153779614048962
"",1,400,800,-0.0225654812980554,0,0.0173723680152348,-0.00949254281887539
"",1,400,800,-0.0220759542396047,0,-0.0209469818186904,-0.023930293380453
"",1,400,800,-0.0224199034593458,0,-0.0149999992958888,-0.0260123857532989
"",1,400,800,-0.0224192739224415,0,0.0121176191844305,0.00838932653726198
"",1,400,800,-0.0226470805862674,0,0.0149227815404874,0.0203415267281335
"",1,400,800,-0.0225542188977063,0,0.000294835786429607,0.00340912159090833
"",1,400,800,-0.022662012354525,0,-0.0080058490290475,-0.0170071116776754
"",1,400,800,-0.0225739434402329,0,0.0264214975292879,0.00945304387719651
"",1,400,800,-0.0224703897776211,0,-0.0250600539623624,-0.0306159077826456
"",1,400,800,-0.0224501618711649,0,0.0273903407195992,0.0181852203227367
"init",0,800,1600,-0.0222342798923782,0,-0.0291918430121599,-0.028233768118856
"",0,800,1600,-0.0223356648209579,0,-0.0162253230461658,-0.00953206567593398
"",0,800,1600,-0.0227495240408333,0,-0.0168641802969603,-0.0111755419967557
"",0,800,1600,-0.0225908313508834,0,-0.0194589506148673,-0.0203774668164343
"",0,800,1600,-0.0224906626390177,0,-0.0409124273627194,-0.040855690181151
"",0,800,1600,-0.0225415720895429,0,-0.0364645988640137,-0.034142579350368
"",0,800,1600,-0.0226285711729433,0,-0.0129019766970476,-0.0114509355557918
"",0,800,1600,-0.0224263519336925,0,-0.0348902129992422,-0.0293757486821019
"",0,800,1600,-0.0225176548980491,0,-0.0376077390736484,-0.0388963006346641
"",0,800,1600,-0.0225784428630661,0,-0.013714480577402,-0.0133595707975468
"",0,800,1600,-0.0225666297752466,0,-0.0138726516827577,-0.0125359274222147
"",0,800,1600,-0.0225632226612949,0,-0.00213605980410768,0.00229910489133002
"",0,800,1600,-0.022462020763151,0,-0.00920000829088633,-0.0063751448834753
"",0,800,1600,-0.0222651679676075,0,-0.00644900007442329,-0.00835239135796756
"",0,800,1600,-0.0224064469630406,0,-0.0335330955320609,-0.0255302558548267
"",0,800,1600,-0.0227260339095473,0,-0.0129701926063438,-0.0157838673492768
"",0,800,1600,-0.0224301260030241,0,-0.00852925169656534,-0.00419600336416551
"",0,800,1600,-0.0225340386771599,0,-0.0329528596617093,-0.0248985808942307
"",0,800,1600,-0.0224991722559534,0,-0.0120818657265022,-0.0184433509314451
"",0,800,1600,-0.0223856163576199,0,-0.038253044162884,-0.0352316411398022
"init",1,800,1600,-0.0225100968659308,0,0.00170486348138973,-0.0136707251677311
"",1,800,1600,-0.0226023422944293,0,-0.0288674527842556,-0.0271870344079185
"",1,800,1600,-0.0225609252826778,0,0.0189187266993055,0.000937298010713917
"",1,800,1600,-0.0225854643697948,0,0.00639426982644457,-0.0176540314614438
"",1,800,1600,-0.0223191192865501,0,-0.0160161774029851,-0.0237970089963391
"",1,800,1600,-0.0225611036239118,0,-0.00428060046129991,-0.0210231106273976
"",1,800,1600,-0.0226608566448564,0,-0.00447919149080096,-0.00599480682999996
"",1,800,1600,-0.0225986983695192,0,0.0056953564462707,-0.00720511203399782
"",1,800,1600,-0.0224482099202287,0,0.00800749797646172,0.00251484110393197
"",1,800,1600,-0.0227330112546172,0,0.0106047002805783,-0.00837725629829151
"",1,800,1600,-0.022517154552868,0,-0.0122594449609873,-0.0214006663932128
"",1,800,1600,-0.0225440415646659,0,0.00936382293616473,-0.0108949818581498
"",1,800,1600,-0.0225386716839261,0,-0.00728727487678264,-0.0241907119885803
"",1,800,1600,-0.0222879258380097,0,-0.00969700009119153,-0.020225308686646
"",1,800,1600,-0.0225699473218335,0,-0.00412700473635584,-0.0225381514303598
"",1,800,1600,-0.0226358331658166,0,0.0108350574094702,-0.00289652022660455
"",1,800,1600,-0.0225447685503775,0,-0.0202896079154912,-0.0411067824420074
"",1,800,1600,-0.0225184368539955,0,0.00120212906204845,-0.0154341065851065
"",1,800,1600,-0.0225801803619253,0,0.0169854690065906,0.00753538385124298
"",1,800,1600,-0.0224390510171584,0,0.0290391800805629,0.0287602038413109
"init",0,1600,3200,-0.0224064609959839,0,-0.0271555230204907,-0.0202214355182937
"",0,1600,3200,-0.0226506305720543,0,-0.0231261187149835,-0.0212625264528967
"",0,1600,3200,-0.0225270349233362,-0.00787085332958758,-0.028060943712718,-0.0385310702533381
"",0,1600,3200,-0.0225059049833641,0,-0.0180759274830244,-0.0149765620507746
"",0,1600,3200,-0.0224870136399618,0,0.0027581138629932,-0.00444047207495994
"",0,1600,3200,-0.0224166650399327,0,-0.0272580057039847,-0.026890018879517
"",0,1600,3200,-0.0225988075824083,0,-0.0322972947959675,-0.0288837477764593
"",0,1600,3200,-0.0225479921669106,0,-0.0056183876196315,-0.0072452023417932
"",0,1600,3200,-0.0224702369347862,0,-0.0155369923967526,-0.0120151417262306
"",0,1600,3200,-0.0224724756445081,0,-0.0333942370465476,-0.0353260685411999
"",0,1600,3200,-0.0225220607452917,0,0.00112206098082371,-0.000623158476255971
"",0,1600,3200,-0.0225884408821828,0,-0.00937179987460211,-0.00907627576680856
"",0,1600,3200,-0.0225515757618085,0,-0.00819050178475717,-0.0161713150343217
"",0,1600,3200,-0.0224736128584267,0,-0.0194096576387394,-0.0207726959656974
"",0,1600,3200,-0.022501540887482,0,-0.0359150661938629,-0.0370070110431539
"",0,1600,3200,-0.0225193713804491,0,-0.0285589680878791,-0.0220825152303723
"",0,1600,3200,-0.022557294181628,0,-0.0177972361361134,-0.0215823886141401
"",0,1600,3200,-0.02243782455735,0,-0.0114382051205132,-0.0112968051550445
"",0,1600,3200,-0.0224378204473837,0,-0.0186049389837196,-0.0159310376714695
"",0,1600,3200,-0.0225556149351847,0,-0.0332490269400971,-0.0346717102234053
"init",1,1600,3200,-0.0225036451112315,0,-0.0017778289496058,-0.029202588340569
"",1,1600,3200,-0.0226325739580639,0,-0.00469720604779928,-0.0164134506320305
"",1,1600,3200,-0.0225547800146094,0,0.00121047857116532,-0.0106224326253769
"",1,1600,3200,-0.0225579059868668,0,-0.0107062348409534,-0.01678622818617
"",1,1600,3200,-0.0225388108061815,0,-0.00163754484215,-0.0206174031347619
"",1,1600,3200,-0.0225767020696829,0,-0.0124226313851586,-0.0285712302818513
"",1,1600,3200,-0.0226192305385374,0,-0.00737556735197954,-0.0160686428122844
"",1,1600,3200,-0.0224594206164196,0,0.00399893582648235,-0.00498520303282712
"",1,1600,3200,-0.022657884525664,0,0.000984854002381459,-0.00484169586281406
"",1,1600,3200,-0.0224872102771985,0,-0.00731384861138274,-0.0222818655687677
"",1,1600,3200,-0.0226797723776588,0,0.00504672696012102,-0.0117893999490382
"",1,1600,3200,-0.0226658472304062,0,0.00184627978257806,-0.012692701060971
"",1,1600,3200,-0.0225789385342274,0,-0.0142918876491595,-0.0195817239251955
"",1,1600,3200,-0.0226680888504064,0,-0.00568406832595348,-0.0257991836442322
"",1,1600,3200,-0.0225496552641939,0,-0.0166016204391753,-0.0215276863392447
"",1,1600,3200,-0.0224839629213085,0,0.0155226901594102,0.00198239951726969
"",1,1600,3200,-0.0225452822949257,0,-0.00194757139780603,-0.0151348996687802
"",1,1600,3200,-0.0225701169339073,0,-0.004324129440516,-0.0289729501329064
"",1,1600,3200,-0.022455025817214,0,0.0120264558312386,0.000280299058373657
"",1,1600,3200,-0.0226772840458175,0,0.000169366255536562,-0.0162824606076883
